Date.Time,TSK,PSFC,"""U10""","""V10""","""Q2""",RAINC,RAINNC,SNOW,TSLB,SMOIS
09.05.2018.00.00,280.9,99783.9,1.1,-1.5,0.00698,0,0,0,286.1,0.2398
09.05.2018.03.00,280.6,99802.3,0.9,-2.4,0.00673,0,0,0,284.3,0.2403
09.05.2018.06.00,287,99775.55,0.9,-3.3,0.00823,0,0,0,283.7,0.2406
09.05.2018.09.00,297.8,99749.25,1.6,2.15,0.00958,0,0,0,286.3,0.24
09.05.2018.12.00,303,99715.65,2.3,-2.2,0.0104615,0,0,0,290.1,0.2384
09.05.2018.15.00,300.2,99651.8,1.8,-2.3,0.0106105,0,0,0,292.8,0.2367
09.05.2018.18.00,292.205,99598.85,1.3,-2.6,0.0108025,0,0,0,293.1,0.2362
09.05.2018.21.00,283.9,99680.85,1.2,-1.7,0.008011,0,0,0,290.5,0.2366
10.05.2018.00.00,279.8,99808.85,1.4,-1.7,0.00651,0,0,0,285.5,0.245
10.05.2018.03.00,277.8,99927.6,1.9,-1.5,0.00582,0,0,0,283.5,0.2447
10.05.2018.06.00,285.2,100068.6,2.9,-1.2,0.00668,0,0,0,282.6,0.2444
10.05.2018.09.00,294.3,100221.5,3.4,-1.5,0.00693,0,0,0,284.8,0.6206
10.05.2018.12.00,297.7,100426.6,3.9,-1.7,0.00713,0,0,0,287.9,0.2411
10.05.2018.15.00,295.3,100599.2,2.5,-1,0.0069715,0,0,0,290,0.2392
10.05.2018.18.00,287.1,100733.85,1.1,-2.1,0.0068305,0,0,0,289.8,0.2384
10.05.2018.21.00,277.995,100827.75,0.1,-2.1,0.0055,0,0,0,286.8,0.2385
11.05.2018.00.00,274.9,100942.5,-0.7,-2.3,0.00465,0,0,0,282.1,0.2482
11.05.2018.03.00,273.5,100856.75,-1.5,-1,0.00449,0,0,0,280,0.2479
11.05.2018.06.00,283.9,100754.7,-2.6,0.7,0.00622,0,0,0,279.4,0.2477
11.05.2018.09.00,295.4,100628.4,-1.8,1.6,0.00661,0,0,0,282.7,0.2465
11.05.2018.12.00,300.2,100516,-0.9,2.6,0.00711,0,0,0,287,0.2442
11.05.2018.15.00,297.7,100403.9,-0.9,2.2,0.0076035,0,0,0,290,0.2421
11.05.2018.18.00,289.9,100293.7,-0.9,1.8,0.00842,0,0,0,290.5,0.2412
11.05.2018.21.00,281,100298.65,-1.4,1.8,0.00667,0,0,0,287.9,0.2414
12.05.2018.00.00,278.4,100289,-2,2,0.00568,0,0,0,282.8,0.2411
12.05.2018.03.00,278,100256.5,-2,2,0.00579,0,0,0,281.5,0.2413
12.05.2018.06.00,288,100208.3,-2.1,2.2,0.0082605,0,0,0,281.6,0.2414
12.05.2018.09.00,298.3,100106.25,-2.4,2.3,0.00888,0,0,0,285.1,0.2405
12.05.2018.12.00,302.9,100009.05,-2.5,2.3,0.0091205,0,0,0,289.3,0.2383
12.05.2018.15.00,300.2,99933.5,-0.3,1.6,0.009232,0,0,0,292.3,0.2366
12.05.2018.18.00,289.9,99883.5,2.31,0.8,0.00940725,0,0,0,292.3,0.2359
12.05.2018.21.00,282.7,100025.75,2.5,-0.2,0.0077,0,0,0,289.7,0.2362
13.05.2018.00.00,279.9,100119.35,2.7,0.8,0.00599,0,0,0,284.1,0.2463
13.05.2018.03.00,277.79,100219.25,2.5,0.6,0.0058285,0,0,0,282.2,0.2457
13.05.2018.06.00,284.2,100281.4,2.4,0.4,0.00654,0,0,0,281.4,0.2451
13.05.2018.09.00,293.9,100324.65,2.1,-0.905,0.00658,0,0,0,283.9,0.2439
13.05.2018.12.00,297,100384.1,1.6,-2.305,0.00656,0,0,0,287.1,0.2418
13.05.2018.15.00,293.5,100348.3,1.2,-3.2,0.00683,0,0,0,289,0.2399
13.05.2018.18.00,285.3,100310.9,0.7,-3.7,0.007,0,0,0,288.6,0.2391
13.05.2018.21.00,280.4,100303.85,1.4,-3.7,0.0066,0,0,0,286.3,0.2391
14.05.2018.00.00,279.8,100301.7,2.4,-4.6,0.00641,0,0,0,282.5,0.2628
14.05.2018.03.00,281.4,100232.45,2.1,-5.5,0.00669,0,0,0,282,0.2611
14.05.2018.06.00,282.5,100114.9,1.7,-6.1,0.0069295,0,0,0,282,0.2597
14.05.2018.09.00,289.2,100184.8,1.5,-6.4,0.00761,0,0,0,282.9,0.2582
14.05.2018.12.00,295.2,100258.55,1.2,-6.4,0.00829,0,0,0,285.7,0.2555
14.05.2018.15.00,293.1,100281.9,1.3,-5.4,0.00835,0,0,0,287.5,0.2534
14.05.2018.18.00,287.2,100327.075,1.4,-4.3,0.00812,0,0,0,287.9,0.2522
14.05.2018.21.00,282,100355.9,0.8,-2.9,0.00759,0,0,0,286.4,0.2521
15.05.2018.00.00,279.3,100376.85,0.6,-2.9,0.00664,0,0,0,282.3,0.2916
15.05.2018.03.00,278.8,100385.85,0.6,-2.9,0.00645,0,0,0,281.5,0.2891
15.05.2018.06.00,285.4,100384,0.8,-4.1,0.00754,0,0,0,281.5,0.287
15.05.2018.09.00,294.2,100423.55,1,-3.9,0.00821,0,0,0,284,0.2842
15.05.2018.12.00,298.2,100480.8,1.2,-3.5,0.00882,0,0,0,287.3,0.2805
15.05.2018.15.00,296.5,100402.65,1.4,-3.6,0.00969,0,0,0,289.7,0.2774
15.05.2018.18.00,290.7,100350.75,1.7,-3.5,0.0102815,0,0,0,290.2,0.2758
15.05.2018.21.00,283,100410.9,0.7,-2.6,0.00805,0,0,0,280.8,0.2755
16.05.2018.00.00,279.395,100479.9,0.2,-2.7,0.00658,0,0,0,283.1,0.2776
16.05.2018.03.00,278.6,100513.25,0.4,-3,0.00626,0,0,0,281.9,0.277
16.05.2018.06.00,285.4,100508.35,2.15,-4.4,0.00736,0,0,0,281.8,0.2762
16.05.2018.09.00,295,100566.7,0.4,-5.4,0.0085805,0,0,0,284.3,0.2743
16.05.2018.12.00,299.505,101251.5,0,-6.2,0.009433,0,0,0,287.8,0.2713
16.05.2018.15.00,295.805,100685.75,-0.1,-6.595,0.009142,0,0,0,290.2,0.2686
16.05.2018.18.00,288.8,100758,-0.2,-6.595,0.0084505,0,0,0,290.4,0.2675
16.05.2018.21.00,283.6,100852.5,0.5,-4.795,0.0073325,0,0,0,288.4,0.2676
17.05.2018.00.00,280.2,100957.8,1.1,-4,0.00651,0,0,0,284.3,0.2795
17.05.2018.03.00,279.2,101015.675,0.1,-3.4,0.00622,0,0,0,283,0.2779
17.05.2018.06.00,284.4,101053.75,-1,-4.7,0.00627,0,0,0,282.5,0.2765
17.05.2018.09.00,293.2,101086.35,-0.6,-5,0.006782,0,0,0,284.4,0.2743
17.05.2018.12.00,297.3,101100,-0.2,-5.1,0.0073105,0,0,0,287.3,0.2711
17.05.2018.15.00,294.6,101065.55,0,-4.995,0.007162,0,0,0,289.4,0.2684
17.05.2018.18.00,287.505,101042.5,2,-4.5,0.00710325,0,0,0,289.5,0.2672
17.05.2018.21.00,280.3,101092,-0.1,-2.9,0.0062605,0,0,0,286.9,0.2672
18.05.2018.00.00,276.8,101144.4,-0.4,-3.4,0.00507,0,0,0,282.205,0.2688
18.05.2018.03.00,275,101147.95,-0.7,-3,0.00459,0,0,0,280.205,0.2686
18.05.2018.06.00,282.2,101161.9,-1.4,-4,0.005159,0,0,0,279.8,0.2682
18.05.2018.09.00,292.2,101142.875,-0.8,-4,0.00577,0,0,0,282.4,0.2668
18.05.2018.12.00,297.1,101113.9,-0.405,-3.9,0.00639,0,0,0,285.8,0.2642
18.05.2018.15.00,295.1,101053.45,-0.4,-3.8,0.00681,0,0,0,288.4,0.2619
18.05.2018.18.00,288.1,101002.2,-0.1,-3.9,0.0074115,0,0,0,288.8,0.261
18.05.2018.21.00,279.5,101027.85,-0.3,-3.85,0.00633,0,0,0,286.6,0.2613
19.05.2018.00.00,277.1,101078.75,-0.4,-3.3,0.00548,0,0,0,281.8,0.2611
19.05.2018.03.00,275.4,101079.45,-0.7,-3.1,0.00495,0,0,0,280,0.2611
19.05.2018.06.00,283.2,101052.8,-1.2,-3.6,0.00591,0,0,0,279.605,0.261
19.05.2018.09.00,293.7,101061.55,-1.1,-3.5,0.00651,0,0,0,282.6,0.2598
19.05.2018.12.00,298.7,101063.7,-0.8,-3.4,0.00702625,0,0,0,286.4,0.2575
19.05.2018.15.00,296.3,100992.35,0.35,-3.3,0.00727,0,0,0,289.1,0.2554
19.05.2018.18.00,288.4,100922.85,-0.5,-3.2,0.007593,0,0,0,289.6,0.2546
19.05.2018.21.00,279.9,100962.5,-0.3,-2.6,0.00661,0,0,0,287.2,0.2549
20.05.2018.00.00,276.4,101006.95,-0.3,-2.6,0.00526,0,0,0,281.805,0.2551
20.05.2018.03.00,275.4,100981.6,-1.2,-2.2,0.00508,0,0,0,280.105,0.2552
20.05.2018.06.00,285.5,100951.5,-2.5,-1.7,0.0068,0,0,0,280.1,0.2552
20.05.2018.09.00,296.305,100896.4,-2.3,-2.3,0.007361,0,0,0,283.5,0.2541
20.05.2018.12.00,301.4,100848.15,-2.1,-2.9,0.0083515,0,0,0,287.7,0.2519
20.05.2018.15.00,298.7,100698.05,-2.5,-2.4,0.009122,0,0,0,290.7,0.2498
20.05.2018.18.00,291.4,101173,-2.8,-1.9,0.0101305,0,0,0,291.2,0.249
20.05.2018.21.00,282.6,100506.45,-2,-1.5,0.0079,0,0,0,289.1,0.2493
21.05.2018.00.00,278.695,100476.3,-2,-1.7,0.00633,0,0,0,283.4,0.2502
21.05.2018.03.00,280,100381.9,-1.9,-1.2,0.0062195,0,0,0,281.9,0.2503
21.05.2018.06.00,287.2,100278.8,-2.4,-0.6,0.0079,0,0,0,281.8,0.2503
21.05.2018.09.00,291.1,100203.15,-1.8,0.1,0.00912,0,0,0,285.2,0.2493
21.05.2018.12.00,304.3,100116.7,-0.495,0.8,0.0098555,0,0,0,289.6,0.2472
21.05.2018.15.00,301.7,100035.85,-0.1,0.9,0.0099905,0,0,0,292.8,0.6201
21.05.2018.18.00,293.7,99963.75,0.3,1,0.01019,0,0,0,293.4,0.2444
21.05.2018.21.00,283.6,99984.75,-0.1,0.1,0.00851,0,0,0,282,0.2446
22.05.2018.00.00,279.695,100005.7,-0.4,-0.8,0.00706,0,0,0,284.3,0.2461
22.05.2018.03.00,278.695,100038.8,0.1,-0.8,0.00691,0,0,0,282.8,0.2462
22.05.2018.06.00,290.2,100098.75,0.8,-1,0.00915,0,0,0,282.9,0.2463
22.05.2018.09.00,301,100091.6,0.8,-0.7,0.00979,0,0,0,286.6,0.2453
22.05.2018.12.00,305.1,100119.3,0.8,-1,0.0099465,0,0,0,290.8,0.2432
22.05.2018.15.00,301.205,100171.45,0.5,-2.295,0.0099565,0,0,0,293.6,0.2412
22.05.2018.18.00,292.4,100228.45,0.2,-2.9,0.0100315,0,0,0,293.7,0.2404
22.05.2018.21.00,283.5,100336.7,0.5,-2.3,0.00831,0,0,0,291,0.2407
23.05.2018.00.00,280.695,100440.4,0.8,-2.3,0.00689,0,0,0,284.8,0.2608
23.05.2018.03.00,280.195,100524.6,0.4,-2.595,0.0067495,0,0,0,283.2,0.2592
23.05.2018.06.00,288,100602.8,0,-3.4,0.00856,0,0,0,278.15,0.258
23.05.2018.09.00,297.4,100662.65,0.4,-3.4,0.00969,0,0,0,285.8,0.2558
23.05.2018.12.00,301.7,100714.2,0.8,-3.4,0.0106805,0,0,0,289.4,0.2529
23.05.2018.15.00,299.6,100679.35,1.2,-2.6,0.010692,0,0,0,292,0.2503
23.05.2018.18.00,287.75,100624.1,1.6,-1.7,0.0108,0,0,0,292.4,0.249
23.05.2018.21.00,283.3,100644.9,0.5,-1.1,0.00854,0,0,0,290.1,0.2489
24.05.2018.00.00,280.995,100678.4,-0.5,-0.7,0.00731,0,0,0,284.9,0.2533
24.05.2018.03.00,280.195,100653.6,-0.1,-0.495,0.00738,0,0,0,283.4,0.2529
24.05.2018.06.00,291.4,100627.55,0,-0.95,0.00959,0,0,0,283.6,0.2524
24.05.2018.09.00,301.1,100571.4,0.6,-0.995,0.0103,0,0,0,287.2,0.251
24.05.2018.12.00,304.1,100529.35,1.11,-0.895,0.01093,0,0,0,291.1,0.2484
24.05.2018.15.00,302.2,100473.6,0.6075,-0.4,0.0111015,0,0,0,293.8,0.246
24.05.2018.18.00,294.9,100431.9,-0.2,0.1,0.0111905,0,0,0,294.4,0.245
24.05.2018.21.00,284.5,100457.3,-0.3,0.4,0.00896,0,0,0,291.9,0.2451
25.05.2018.00.00,280.5,100482.6,-0.1,0.805,0.00724,0,0,0,285.6,0.2619
25.05.2018.03.00,279.5,100534,-0.2,0.4,0.00726,0,0,0,283.9,0.2604
